page,key,desc,slot_px,need_px,mpx,status
1,p01_cover,"Обложка: ЛЭП на закате (вертикальный кадр), БЕЗ текста",1240x1754,2678x3789,10.1,REQ
2,p02_wires,Провода / небо на закате (фон разворота фонда),1240x1754,2678x3789,10.1,REQ
3,p03_towers,Опоры ЛЭП на закате (фон «Комплексное строительство»),1240x1754,2678x3789,10.1,REQ
6,p06_blueprints,"Чертежи, карандаш, циркуль (фон страницы статистики)",1240x1754,2678x3789,10.1,REQ
7,p07_winter,ЛЭП зимой с автокраном (фон «Проектирование»),1240x1754,2678x3789,10.1,REQ
8,p08_office_tray,Офис: кабельный лоток под потолком,1240x765,2678x1652,4.4,SQZ
9,p09_office_desks,Офис: рабочие места / столы,1240x877,2678x1894,5.1,SQZ
9,p09_office_floor,Офис: пол / общий вид помещения,1240x877,2678x1894,5.1,SQZ
10,p10_cable_lay,Прокладка кабеля в траншее (вид сверху),1240x764,2678x1650,4.4,REQ
11,p11_trench_top,"Траншея с красными трубами, вид сверху (дрон)",1240x874,2678x1888,5.1,REQ
11,p11_excavator,Экскаватор JCB роет траншею,1240x874,2678x1888,5.1,REQ
12,p12_ohl_winter,Воздушная ЛЭП зимой (фон страницы ВЛ),1240x1754,2678x3789,10.1,REQ
13,p13_workers,Рабочие в касках у бетонной опоры,1240x870,2678x1879,5.0,REQ
13,p13_crane,Гусеничный кран JCB на площадке,1240x884,2678x1909,5.1,REQ
14,p14_transformer,Силовой трансформатор на подстанции,1240x955,2678x2063,5.5,REQ
14,p14_ktp_blue,КТП (синий блок-модуль),620x754,1339x1629,2.2,REQ
14,p14_substation,Площадка подстанции с опорами,620x754,1339x1629,2.2,REQ
15,p15_subst_pano,"Панорама подстанции (ОРУ, зима)",1240x870,2678x1879,5.0,REQ
15,p15_svel,Трансформатор СВЭЛ на фундаменте,1240x884,2678x1909,5.1,SQZ
16,p16_building_blue,Здание с синей архитектурной подсветкой,1240x710,2678x1534,4.1,REQ
16,p16_building_gold,Здание с золотой подсветкой (ночь),1240x654,2678x1413,3.8,REQ
17,p17_church,"Храм / деревья, наружное освещение",1240x1010,2678x2182,5.8,REQ
17,p17_road_night,Дорога М11 с фонарями ночью,1240x744,2678x1607,4.3,REQ
18,p18_panel,"Электрощит, наладчик с прибором",1240x1754,2678x3789,10.1,REQ
19,p19_hdd_pipes,Красные трубы ГНБ на площадке,1240x764,2678x1650,4.4,REQ
20,p20_metro_site,Метрострой: стройплощадка,680x600,1469x1296,1.9,REQ
20,p20_metro_panel,Метрострой: распределительный щит (вертикальный кадр),380x604,821x1305,1.1,REQ
21,p21_ukrm,"УКРМ-0,4 кВ, синие блок-модули",1240x875,2678x1890,5.1,SQZ
21,p21_foundations,Рабочий у бетонных фундаментов,1240x879,2678x1899,5.1,SQZ
22,p22_road_pipe,"Дорога / труба, ОЭЗ «Эммаус»",1240x1754,2678x3789,10.1,REQ
23,p23_pipe_trench,Укладка трубы большого диаметра в траншею,1240x945,2678x2041,5.5,REQ
23,p23_road_roller,"Укладка асфальта, каток",1240x809,2678x1747,4.7,REQ
24,p24_worker,Рабочий в каске со спины (Западный мост),1240x1754,2678x3789,10.1,REQ
25,p25_truss,Металлическая ферма моста,1240x870,2678x1879,5.0,REQ
25,p25_pole,Установка опоры краном-манипулятором,1240x884,2678x1909,5.1,REQ
26,p26_yard,Двор жилого комплекса с детской площадкой,1240x870,2678x1879,5.0,REQ
26,p26_house1,"Жилой дом, ракурс 1",620x430,1339x929,1.2,REQ
26,p26_house2,"Жилой дом, ракурс 2",620x430,1339x929,1.2,REQ
26,p26_house3,"Жилой дом, ракурс 3 (ввод 2025)",1240x454,2678x981,2.6,REQ
27,p27_tower,Высотка «Аструм-Сити»,1240x1695,2678x3661,9.8,REQ
31,p31_sunset,ЛЭП на закате (фон страницы лицензий),1240x1032,2678x2229,6.0,REQ
32,p32_back,Задняя обложка: опора ЛЭП,1240x1754,2678x3789,10.1,REQ
